wikiData	wikiDataLabel	tagInfo	tagClassLabel	mainCategoryLabel
http://www.wikidata.org/entity/Q81058	homeopathy	Tag:healthcare:speciality=homeopathy	quackery	Category:Homeopathy
http://www.wikidata.org/entity/Q81058	homeopathy	Tag:healthcare:speciality=homeopathy	alternative medical treatment	Category:Homeopathy
http://www.wikidata.org/entity/Q81058	homeopathy	Tag:healthcare:speciality=homeopathy	branch of pseudoscience	Category:Homeopathy
http://www.wikidata.org/entity/Q81235	automated teller machine	Tag:amenity=atm		Category:Automated teller machines
http://www.wikidata.org/entity/Q94951	regional cuisine	Tag:cuisine=regional		Q18740547
http://www.wikidata.org/entity/Q101815	Camellia sinensis	Tag:crop=tea	taxon	Category:Camellia sinensis
http://www.wikidata.org/entity/Q105731	lock	Key:lock		Category:Locks (water navigation)
http://www.wikidata.org/entity/Q107679	cliff	Tag:natural=cliff		Category:Cliffs
http://www.wikidata.org/entity/Q107679	cliff	Tag:natural=cliff		Category:Mountain rampart
http://www.wikidata.org/entity/Q108325	chapel	Tag:building=chapel		Category:Chapels
http://www.wikidata.org/entity/Q120569	gastroenterology	Tag:healthcare:speciality=gastroenterology	medical specialty	Category:Gastroenterology
http://www.wikidata.org/entity/Q123028	pediatrics	Tag:healthcare:speciality=paediatrics	medical specialty	Category:Pediatrics
http://www.wikidata.org/entity/Q123028	pediatrics	Tag:healthcare:speciality=paediatrics	academic discipline	Category:Pediatrics
http://www.wikidata.org/entity/Q123559	al-Andalus	Tag:historic:civilization=islamic_iberia	historical period	Category:Al-Andalus
http://www.wikidata.org/entity/Q131471	darts	Tag:sport=darts		Category:Darts
http://www.wikidata.org/entity/P1011	excluding	Key:except	restrictive qualifier	
http://www.wikidata.org/entity/P1329	phone number	Key:contact:phone	Wikidata property for an identifier	
http://www.wikidata.org/entity/P1329	phone number	Key:phone	Wikidata property for an identifier	
http://www.wikidata.org/entity/P1329	phone number	Key:contact:phone	Wikidata property for Wikivoyage listings	
http://www.wikidata.org/entity/P1329	phone number	Key:phone	Wikidata property for Wikivoyage listings	
http://www.wikidata.org/entity/P1329	phone number	Key:contact:phone	Wikidata property encoding a vCard value	
